round,cluster_from,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1.0,-1,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,0,0.0,0.0,254.0,0.0,214.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,119.0,86.0,0.0,0.0,0.0,0.0
3.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,1.0,69.0
3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3.0,9,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,216.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,37.0
3.0,14,0.0,0.0,0.0,0.0,0.0,16.0,0.0,13.0,6.0,0.0,0.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,13.0
3.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,5,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,8,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,11.0,0.0
4.0,12,0.0,202.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,24.0,9.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
4.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4.0,19,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,60.0,0.0,14.0,0.0
5.0,1,0.0,54.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
5.0,3,0.0,0.0,0.0,18.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0
5.0,6,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,12,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
5.0,16,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,12.0,0.0
