type,processed_demand,proportion
"(0, 0)","(((0, 0), (2, 3), (1, 3)), ((0, 0), (2, 0), (1, 0)))",0.9898238747553816
"(0, 0)","(((0, 0), (2, 3), (2, 3), (1, 3)), ((0, 0), (2, 0), (1, 0), (1, 0)))",0.0019569471624266144
"(0, 0)","(((0, 0), (2, 3), (2, 3), (2, 3), (1, 3)), ((0, 0), (2, 0), (1, 0), (1, 0), (1, 0)))",0.0015655577299412916
"(0, 0)","(((0, 0), (2, 3), (1, 3), (1, 3)), ((0, 0), (2, 0), (2, 0), (1, 0)))",0.0011741682974559687
"(0, 0)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 0), (1, 0), (1, 0), (0, 0)))",0.0011741682974559687
"(0, 0)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 0), (1, 0), (1, 0), (1, 0), (0, 0)))",0.0011741682974559687
"(0, 0)","(((0, 0), (2, 2), (2, 2), (2, 2), (2, 2), (0, 2)), ((0, 0), (2, 0), (2, 0), (2, 0), (2, 0), (2, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (2, 2), (2, 2), (0, 3)), ((0, 0), (2, 0), (2, 0), (2, 0), (2, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (2, 2), (2, 2), (1, 3)), ((0, 0), (2, 0), (2, 0), (1, 0), (1, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (2, 2), (0, 3)), ((0, 0), (2, 0), (2, 0), (2, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (2, 2), (2, 2), (2, 2), (1, 2)), ((0, 0), (2, 0), (2, 0), (1, 0), (1, 0), (1, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (2, 2), (2, 2), (2, 2), (2, 2)), ((0, 0), (2, 0), (2, 0), (2, 0), (1, 0), (0, 0)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 3), (1, 2)), ((0, 0), (2, 0), (1, 1)))",0.0003913894324853229
"(0, 0)","(((0, 0), (2, 2), (0, 3)), ((0, 0), (2, 0), (2, 0)))",0.0003913894324853229
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (0, 3), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.3649025069637883
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (0, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 0)))",0.3310783923597294
"(0, 1)","(((0, 0), (2, 3), (2, 2), (2, 1), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 0)))",0.027457222443294866
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.0238758456028651
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 0)))",0.01910067648229208
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 0)))",0.01910067648229208
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)))",0.016713091922005572
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 3), (0, 0)))",0.015121368881814564
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (2, 0)))",0.015121368881814564
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (2, 0), (0, 0)))",0.010744130521289296
"(0, 1)","(((0, 0), (2, 3), (2, 2), (2, 1), (0, 3), (0, 2)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 1), (2, 1)))",0.009948269001193792
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 0), (0, 3), (0, 3)))",0.009948269001193792
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (2, 0), (2, 0)))",0.00955033824114604
"(0, 1)","(((0, 0), (2, 3), (2, 2), (2, 1), (0, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 2), (2, 1), (2, 0)))",0.00955033824114604
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (0, 3)))",0.00716275368085953
"(0, 1)","(((0, 0), (2, 3), (2, 3), (1, 3), (1, 3)), ((0, 0), (2, 3), (2, 3), (2, 3), (1, 0)))",0.006764822920811779
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (0, 3)), ((0, 0), (2, 3), (2, 3), (2, 0), (2, 0)))",0.006764822920811779
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 2), (0, 2)), ((0, 0), (2, 3), (2, 3), (1, 3), (2, 1), (2, 1)))",0.004377238360525269
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 0), (0, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (2, 3)))",0.004377238360525269
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (0, 3)))",0.003979307600477517
"(0, 1)","(((0, 0), (2, 3), (2, 3), (2, 3), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (2, 3), (2, 3), (0, 3)))",0.003979307600477517
"(0, 1)","(((0, 0), (2, 3), (2, 0), (2, 0)), ((0, 0), (2, 3), (2, 3), (0, 3)))",0.003581376840429765
