run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,rho_0_nash_conv,rho_0_heuristic_conv,rho_0_nash_conv_runtime,rho_0_heuristic_conv_runtime,rho_0_nash_conv_player_improvements,rho_0_heuristic_conv_player_improvements
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_15-100,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,100,feb10_ppo_mlpppo_15,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,331264.0,1802.9699203968048,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],15.480403596421894,14.542120245220696,5.597877264022827,3.7285914421081543,"[8.792230984503648, 6.688172611918246]","[5.153413176471213, 9.388707068749483]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_15-101,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,101,feb10_ppo_mlpppo_15,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,323072.0,1800.5076491832733,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],2.375155329246395,8.369611244545528,3.0342092514038086,2.1332435607910156,"[0.7811143247607113, 1.5940410044856836]","[6.775570240059843, 1.5940410044856836]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_15-102,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,102,feb10_ppo_mlpppo_15,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,325632.0,1802.0534751415253,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],15.152383401613605,8.369611244545528,3.1507434844970703,2.1905531883239746,"[6.775570240059843, 8.376813161553763]","[6.775570240059843, 1.5940410044856836]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_24-100,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,100,feb10_ppo_mlpppo_24,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,373760.0,1801.6998071670532,0.10355674153496608,"[11.014678731585958, 14.024345069770408]",0.00413581385426681,0.10355674153496608,0.00413581385426681,11.014678731585958,0.10355674153496608,0.009401703314142452,0.10355674153496608,0.009401703314142452,14.024345069770408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.014678731585958,21.556387968984495,0.0,0.0,1.0,0.0,0.0,14.024345069770408,21.931629739869944,0.0,0.0,1.0,0.0,68.52704151021081,43.48801770885442,3.40040020010005,0.0,0.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((1, 1), 5993), ((0, 3), 4002)]",[ 5.55111512e-17 -4.44089210e-16],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],5.3924472870229,2.375155329246395,2.5423362255096436,2.62894868850708,"[0.7811143247607113, 4.611332962262189]","[0.7811143247607113, 1.5940410044856836]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_24-101,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,101,feb10_ppo_mlpppo_24,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,374784.0,1803.7833259105682,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],9.157927486314474,8.369611244545528,2.5056955814361572,2.0380492210388184,"[0.7811143247607113, 8.376813161553763]","[6.775570240059843, 1.5940410044856836]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_24-102,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,102,feb10_ppo_mlpppo_24,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,365568.0,1801.549863576889,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],11.988911830598264,17.218577533921895,19.412110090255737,3.5199992656707764,"[11.988911830598264, 0.0]","[10.53040492200365, 6.688172611918246]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_28-100,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,100,feb10_ppo_mlpppo_28,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,606208.0,1802.1234378814697,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],1.089878494527401,9.157927486314474,9.913278102874756,2.1410107612609863,"[0.7040034945274023, 0.38587499999999864]","[0.7811143247607113, 8.376813161553763]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_28-101,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,101,feb10_ppo_mlpppo_28,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,601088.0,1801.8414714336395,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],2.375155329246395,11.987733069157667,2.497281551361084,5.264083385467529,"[0.7811143247607113, 1.5940410044856836]","[0.12047674726370339, 11.867256321893963]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_21-100,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,100,feb10_ppo_mlpppo_21,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,323328.0,1801.3806791305542,0.0,"[10.175507538543382, 15.524016236639383]",0.0,0.0,0.0,10.175507538543382,0.0,0.0,0.0,0.0,15.524016236639383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.175507538543382,19.717499999999994,0.0,0.0,1.0,0.0,0.0,15.524016236639383,23.152500000000007,0.0,0.0,1.0,0.0,68.56952377518277,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],1.065144486375896,"[9.41967053832495, 12.990121224711142]",0.04753031610640855,0.2810907268496461,0.012543210120912062,9.41967053832495,0.7735944837949926,0.08212542897838514,0.2333202875734326,0.024769474327593913,12.990121224711142,0.29155000258090347,0.02244397858476387,0.047770439276213494,0.003677443685847955,0.0,0.0,1.0,0.0,0.0,9.41967053832495,21.95707631548344,0.0,0.0,1.0,0.0,0.0,12.990121224711142,24.295444965519877,0.0,0.0,1.0,0.0,68.66231304403942,46.25252128100332,5.04872436218109,0.08104052026013006,0.08104052026013006,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 7496), ((0, 3), 2499)]",[-5.55111512e-17  0.00000000e+00],15.773301333794524,11.224121618622764,3.3470754623413086,3.5855343341827393,"[0.12047674726370339, 15.652824586530821]","[4.535949006704517, 6.688172611918246]"
feb10_2p_5type_feb10_2p_5type_0_base_dev1000_rho1_t5-feb10_ppo_mlpppo_28-102,feb10_2p_5type/feb10_2p_5type_0_base_dev1000_rho1_t5.json,102,feb10_ppo_mlpppo_28,PPO,feb10_2p_5type_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
