run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,nash_conv_runtime,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,heuristic_conv_runtime,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_nash_conv_runtime,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_heuristic_conv_runtime,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5-feb10_ppo_bestppo_4-105,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5.json,105,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,764928,3603.443491458893,0.0,7.135077476501465,"[11.477316377310038, 13.452749254006074]",0.0,0.0,0.0,3.4596524238586426,11.477316377310038,0.0,0.0,0.0,0.0,13.452749254006074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.477316377310038,21.900208737742652,0.0,0.0,1.0,0.0,0.0,13.452749254006074,21.21520065789474,0.0,0.0,1.0,0.0,68.0454750269535,43.115409395637386,3.158995397238343,0.3599159495697418,0.3599159495697418,-2.220446049250313e-16,-1.1102230246251565e-16,"[((0, 3), 5815), ((1, 1), 4179)]",[ 1.11022302e-16 -2.22044605e-16],0.45123106998346785,7.967877388000488,"[10.66278624178325, 13.185570877721851]",0.018920845059570784,0.12975233096136307,0.005440724084731237,2.6297924518585205,10.66278624178325,0.1732478313111887,0.016247895004431284,0.02535058782282107,0.002377482512355178,13.185570877721851,0.27798323867227914,0.02108238173759739,0.104401743138542,0.007917878118947256,0.0,0.0,1.0,-0.36963238184473646,0.019407763105242098,10.66278624178325,22.208993600344908,0.0,0.0,1.0,0.0,0.0,13.185570877721851,21.980292255307674,0.0,0.0,1.0,0.019407763105242098,68.03764297515768,44.18928585565258,3.7894157663065227,0.3175270108043217,0.3175270108043217,0.0,0.0,"[((1, 1), 5157), ((0, 3), 4839)]",[0. 0.]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5-feb10_ppo_bestppo_4-109,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5.json,109,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,773120,3603.9625442028046,0.0,10.825790166854858,"[10.989905667473852, 13.832467754586814]",0.0,0.0,0.0,4.978816509246826,10.989905667473852,0.0,0.0,0.0,0.0,13.832467754586814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.989905667473852,21.23135485041025,0.0,0.0,1.0,0.0,0.0,13.832467754586814,21.88405454522714,0.0,0.0,1.0,0.0,67.93778281769805,43.115409395637386,3.158995397238343,0.3599159495697418,0.3599159495697418,-6.661338147750939e-16,-5.551115123125783e-17,"[((1, 1), 5768), ((0, 3), 4226)]",[-5.55111512e-17  0.00000000e+00],0.45123106998346785,7.928355693817139,"[10.66278624178325, 13.185570877721851]",0.018920845059570784,0.12975233096136307,0.005440724084731237,2.6655819416046143,10.66278624178325,0.1732478313111887,0.016247895004431284,0.02535058782282107,0.002377482512355178,13.185570877721851,0.27798323867227914,0.02108238173759739,0.104401743138542,0.007917878118947256,0.0,0.0,1.0,-0.36963238184473646,0.019407763105242098,10.66278624178325,22.208993600344908,0.0,0.0,1.0,0.0,0.0,13.185570877721851,21.980292255307674,0.0,0.0,1.0,0.019407763105242098,68.03764297515768,44.18928585565258,3.7894157663065227,0.3175270108043217,0.3175270108043217,0.0,0.0,"[((1, 1), 5157), ((0, 3), 4839)]",[0. 0.]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-102,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,102,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,759808,3604.546571493149,0.0,27.387495279312134,"[10.49112618474234, 13.466972015013424]",0.0,0.0,0.0,12.34342360496521,10.49112618474234,0.0,0.0,0.0,0.0,13.466972015013424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.49112618474234,19.717499999999994,0.0,0.0,1.0,0.0,0.0,13.466972015013424,23.152500000000007,0.0,0.0,1.0,0.0,66.82809819975577,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],2.7562043611997726,8.930421113967896,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.587449312210083,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-105,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,105,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,776192,3601.5423998832703,0.0,26.348116397857666,"[10.49112618474234, 13.466972015013424]",0.0,0.0,0.0,11.388375997543335,10.49112618474234,0.0,0.0,0.0,0.0,13.466972015013424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.49112618474234,19.717499999999994,0.0,0.0,1.0,0.0,0.0,13.466972015013424,23.152500000000007,0.0,0.0,1.0,0.0,66.82809819975577,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],2.7562043611997726,8.909905433654785,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.598717212677002,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-108,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,108,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,788480,3600.2626991271973,0.0,8.886100769042969,"[11.507414499242763, 13.096819151324246]",0.0,0.0,0.0,4.080454587936401,11.507414499242763,0.0,0.0,0.0,0.0,13.096819151324246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.507414499242763,21.535615130591417,0.0,0.0,1.0,0.0,0.0,13.096819151324246,21.945421194836392,0.0,0.0,1.0,0.0,68.08526997599482,43.4810363254278,3.3958771139797856,0.0,0.0,0.0,0.0,"[((1, 1), 6037), ((0, 3), 3956)]",[0. 0.],2.7562043611997726,8.819539308547974,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.621156930923462,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5-feb10_ppo_bestppo_4-106,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5.json,106,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,5,1000,True,778240,3604.541247367859,0.0,7.470089912414551,"[11.477316377310038, 13.452749254006074]",0.0,0.0,0.0,3.451003313064575,11.477316377310038,0.0,0.0,0.0,0.0,13.452749254006074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.477316377310038,21.900208737742652,0.0,0.0,1.0,0.0,0.0,13.452749254006074,21.21520065789474,0.0,0.0,1.0,0.0,68.0454750269535,43.115409395637386,3.158995397238343,0.3599159495697418,0.3599159495697418,-2.220446049250313e-16,-1.1102230246251565e-16,"[((0, 3), 5815), ((1, 1), 4179)]",[ 1.11022302e-16 -2.22044605e-16],0.45123106998346785,7.934328556060791,"[10.66278624178325, 13.185570877721851]",0.018920845059570784,0.12975233096136307,0.005440724084731237,2.5763931274414062,10.66278624178325,0.1732478313111887,0.016247895004431284,0.02535058782282107,0.002377482512355178,13.185570877721851,0.27798323867227914,0.02108238173759739,0.104401743138542,0.007917878118947256,0.0,0.0,1.0,-0.36963238184473646,0.019407763105242098,10.66278624178325,22.208993600344908,0.0,0.0,1.0,0.0,0.0,13.185570877721851,21.980292255307674,0.0,0.0,1.0,0.019407763105242098,68.03764297515768,44.18928585565258,3.7894157663065227,0.3175270108043217,0.3175270108043217,0.0,0.0,"[((1, 1), 5157), ((0, 3), 4839)]",[0. 0.]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-100,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,100,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,776192,3602.663064479828,0.0,12.082030534744263,"[10.998769313241697, 12.93245365726592]",0.0,0.0,0.0,4.382709741592407,10.998769313241697,0.0,0.0,0.0,0.0,12.93245365726592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.998769313241697,23.152500000000007,0.0,0.0,1.0,0.0,0.0,12.93245365726592,19.717499999999994,0.0,0.0,1.0,0.0,66.80122297050762,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],2.7562043611997726,8.919912815093994,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.634565830230713,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-103,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,103,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,770048,3604.0803306102753,0.0,9.213236808776855,"[11.507414499242763, 13.096819151324246]",0.0,0.0,0.0,4.160535573959351,11.507414499242763,0.0,0.0,0.0,0.0,13.096819151324246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.507414499242763,21.535615130591417,0.0,0.0,1.0,0.0,0.0,13.096819151324246,21.945421194836392,0.0,0.0,1.0,0.0,68.08526997599482,43.4810363254278,3.3958771139797856,0.0,0.0,0.0,0.0,"[((1, 1), 6037), ((0, 3), 3956)]",[0. 0.],2.7562043611997726,8.450570106506348,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.6700820922851562,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-106,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,106,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,776192,3604.381556034088,0.0,11.27648401260376,"[10.998769313241697, 12.93245365726592]",0.0,0.0,0.0,4.233882188796997,10.998769313241697,0.0,0.0,0.0,0.0,12.93245365726592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.998769313241697,23.152500000000007,0.0,0.0,1.0,0.0,0.0,12.93245365726592,19.717499999999994,0.0,0.0,1.0,0.0,66.80122297050762,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],2.7562043611997726,8.353165626525879,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.647211790084839,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
feb10_2p_5type_feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break-feb10_ppo_bestppo_4-109,feb10_2p_5type/feb10_2p_5type_1_base_dev1000_rho1_t5_tie_break.json,109,feb10_ppo_bestppo_4,PPO,feb10_2p_5type_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,5,1000,True,785408,3600.225647211075,0.0,7.277868032455444,"[11.507414499242763, 13.096819151324246]",0.0,0.0,0.0,3.533067226409912,11.507414499242763,0.0,0.0,0.0,0.0,13.096819151324246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.507414499242763,21.535615130591417,0.0,0.0,1.0,0.0,0.0,13.096819151324246,21.945421194836392,0.0,0.0,1.0,0.0,68.08526997599482,43.4810363254278,3.3958771139797856,0.0,0.0,0.0,0.0,"[((1, 1), 6037), ((0, 3), 3956)]",[0. 0.],2.7562043611997726,8.274413108825684,"[9.07953815125527, 11.551268323860292]",0.13359653993770176,2.3905818322223524,0.1158743762686069,2.652524948120117,9.07953815125527,1.1121314193695362,0.12248766411271492,0.915140124142118,0.1007914839826514,11.551268323860292,1.6440729418302364,0.1423283483454575,1.4754417080802344,0.12772984461217676,0.0,0.0,1.0,-7.709964327727714,0.030712284913965587,9.07953815125527,20.93570005523452,0.0,0.0,1.0,-6.070963654511802,0.050220088035214085,11.551268323860292,20.761388921666562,0.0,0.0,1.0,0.05542216886754702,62.32789545201664,41.69708897690108,3.7894157663065227,0.3175270108043217,0.3175270108043217,2.4921968787515003,0.2076830732292917,"[((1, 1), 4182), ((0, 3), 3738), ((0, 2), 2076)]",[0.20768307 0.        ]
