run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,nash_conv_runtime,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,heuristic_conv_runtime,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,rewards_2,nc_player_improvements_2,nc_player_improvements_frac_2,hc_player_improvements_2,hc_player_improvements_frac_2,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,p2_expected_exposure,p2_exposure_frac,p2_utility,p2_payment,p2_total_entropies,p2_avg_entropies,p2_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-100,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3.json,100,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3516416,28805.617658376694,13.704069611791022,48.92965245246887,"[14.317857649146724, 8.648939536951731, 9.409901546917556]",0.4232695162900086,,,300.0036256313324,14.317857649146724,3.099285863197718,0.21646296108988208,,,8.648939536951731,9.886587099038909,1.143098186407646,,,9.409901546917556,0.718196649554395,0.07632350306466892,,,0.0,0.0,1.0,0.0,0.0,14.317857649146724,24.319167333867096,0.0,0.0,1.0,0.0,0.0,8.648939536951731,21.906389111289034,0.0,0.0,1.0,0.0,0.0,9.409901546917556,19.249431545236188,0.0,0.0,1.0,0.0,97.85168672340833,65.4749879903923,4.2157726180944755,1.0,1.0,0.0,0.0,"[((1, 1), 6093), ((0, 2), 3322), ((0, 3), 577)]",[0. 0.]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-102,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3.json,102,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3514368,28802.694556951523,11.158807509102648,474.2241814136505,"[13.936273994913758, 8.654108058110818, 9.411211785883905]",0.3486953670268585,,,300.005003452301,13.936273994913758,10.406660240516636,0.7467318914879756,,,8.654108058110818,0.6654336171291861,0.07689222420853958,,,9.411211785883905,0.08671365145682586,0.009213866761227249,,,0.0,0.0,1.0,0.0,0.0,13.936273994913758,24.693694155324266,0.0,0.0,1.0,0.0,0.0,8.654108058110818,21.905812650120097,0.0,0.0,1.0,0.0,0.0,9.411211785883905,19.25024819855885,0.0,0.0,1.0,0.0,97.85134884291169,65.84975500400319,4.324259407526021,1.0,1.0,3.3306690738754696e-16,2.7755575615628914e-17,"[((1, 1), 6093), ((0, 2), 3322), ((0, 3), 577)]",[2.77555756e-17 0.00000000e+00]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3449856,28804.952214717865,,300.0102276802063,"[14.317857649146724, 8.648939536951731, 9.409901546917556]",,,,300.0005042552948,14.317857649146724,,,,,8.648939536951731,,,,,9.409901546917556,,,,,0.0,0.0,1.0,0.0,0.0,14.317857649146724,24.319167333867096,0.0,0.0,1.0,0.0,0.0,8.648939536951731,21.906389111289034,0.0,0.0,1.0,0.0,0.0,9.409901546917556,19.249431545236188,0.0,0.0,1.0,0.0,97.85168672340833,65.4749879903923,4.2157726180944755,1.0,1.0,0.0,0.0,"[((1, 1), 6093), ((0, 2), 3322), ((0, 3), 577)]",[0. 0.]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-103,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3.json,103,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3486720,28801.839240312576,7.1772151031420695,607.3497881889343,"[14.317857649146724, 8.648939536951731, 9.409901546917556]",0.22167841021490967,,,300.0031726360321,14.317857649146724,7.1772151031420695,0.5012771658314257,,,8.648939536951731,0.0,0.0,,,9.409901546917556,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,14.317857649146724,24.319167333867096,0.0,0.0,1.0,0.0,0.0,8.648939536951731,21.906389111289034,0.0,0.0,1.0,0.0,0.0,9.409901546917556,19.249431545236188,0.0,0.0,1.0,0.0,97.85168672340833,65.4749879903923,4.2157726180944755,1.0,1.0,0.0,0.0,"[((1, 1), 6093), ((0, 2), 3322), ((0, 3), 577)]",[0. 0.]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3-feb10_ppo_bestppo_4-104,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3.json,104,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,1.0,3,1000,True,3507200,28807.375714063644,9.881709240229394,853.9518706798553,"[14.317857649146724, 8.648939536951731, 9.409901546917556]",0.305210525684404,,,300.0017514228821,14.317857649146724,5.44079859499244,0.3800008861882131,,,8.648939536951731,1.721134927856224,0.1989995328910379,,,9.409901546917556,2.719775717380731,0.2890333872060181,,,0.0,0.0,1.0,0.0,0.0,14.317857649146724,24.319167333867096,0.0,0.0,1.0,0.0,0.0,8.648939536951731,21.906389111289034,0.0,0.0,1.0,0.0,0.0,9.409901546917556,19.249431545236188,0.0,0.0,1.0,0.0,97.85168672340833,65.4749879903923,4.2157726180944755,1.0,1.0,0.0,0.0,"[((1, 1), 6093), ((0, 2), 3322), ((0, 3), 577)]",[0. 0.]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-100,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,100,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3337216,28807.944320440292,9.601113390515023,173.63710856437683,"[13.032838825246616, 8.947271008464503, 9.225921260332221]",0.30766851963906744,,,300.0087134838104,13.032838825246616,1.2539923390713437,0.0962178966444492,,,8.947271008464503,0.0,0.0,,,9.225921260332221,8.347121051443679,0.9047466172655264,,,0.0,0.0,1.0,0.0,0.0,13.032838825246616,21.49095798319328,0.0,0.0,1.0,0.0,0.0,8.947271008464503,21.02338535414166,0.0,0.0,1.0,-1.4076101734330615,0.017006802721088437,9.225921260332221,20.674477791116445,0.0,0.0,1.0,0.017006802721088437,94.39485222249472,63.18882112845136,3.3047218887555023,1.0,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 492), ((0, 3), 435)]",[0.00000000e+00 2.22044605e-16]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-101,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,101,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3402752,28803.04108452797,23.19488905585887,2033.149926185608,"[13.112447441600443, 8.946736852971524, 9.225538235587985]",0.7414126506475452,,,300.00173902511597,13.112447441600443,8.554311605386406,0.6523810023632253,,,8.946736852971524,2.4611969192064365,0.2750943678855366,,,9.225538235587985,12.179380531266027,1.3201810257837796,,,0.0,0.0,1.0,0.0,0.0,13.112447441600443,21.41429114557279,0.0,0.0,1.0,0.0,0.0,8.946736852971524,21.02246323161581,0.0,0.0,1.0,-1.4076101734330615,0.017008504252126064,9.225538235587985,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,94.39600617198087,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-102,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,102,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3373056,28804.544454336166,17.60528416338645,16.409690618515015,"[13.112447441600443, 8.946736852971524, 9.225538235587985]",0.5627438167755563,,,300.01223516464233,13.112447441600443,3.8385566249079837,0.2927414307667545,,,8.946736852971524,12.193964722543528,1.362951087411662,,,9.225538235587985,1.5727628159349365,0.17047924747283835,,,0.0,0.0,1.0,0.0,0.0,13.112447441600443,21.41429114557279,0.0,0.0,1.0,0.0,0.0,8.946736852971524,21.02246323161581,0.0,0.0,1.0,-1.4076101734330615,0.017008504252126064,9.225538235587985,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,94.39600617198087,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-103,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,103,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3336192,28802.793666362762,18.961453107888367,175.43480515480042,"[13.112447441600443, 8.946736852971524, 9.225538235587985]",0.6060930567502598,,,300.0063445568085,13.112447441600443,10.559985302290087,0.8053405246672383,,,8.946736852971524,0.0,0.0,,,9.225538235587985,8.40146780559828,0.9106750837787642,,,0.0,0.0,1.0,0.0,0.0,13.112447441600443,21.41429114557279,0.0,0.0,1.0,0.0,0.0,8.946736852971524,21.02246323161581,0.0,0.0,1.0,-1.4076101734330615,0.017008504252126064,9.225538235587985,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,94.39600617198087,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16]
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-feb10_ppo_bestppo_4-104,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,104,feb10_ppo_bestppo_4,PPO,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,3391488,28801.899799108505,33.986691559187065,352.79608392715454,"[13.032838825246616, 8.947271008464503, 9.223551629883348]",1.0891892157860892,,,300.0054793357849,13.032838825246616,8.554311605386406,0.6563659475950387,,,8.947271008464503,16.519422701137668,1.846308520833848,,,9.223551629883348,8.912957252662995,0.9663259458304478,,,0.0,0.0,1.0,0.0,0.0,13.032838825246616,21.49095798319328,0.0,0.0,1.0,0.0,0.0,8.947271008464503,21.02338535414166,0.0,0.0,1.0,-1.4076101734330615,0.017006802721088437,9.223551629883348,20.674477791116445,0.0,0.0,1.0,0.017006802721088437,94.39248259204585,63.18882112845136,3.3047218887555023,1.0,1.0,1.5543122344752192e-15,2.220446049250313e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 492), ((0, 3), 435)]",[0.00000000e+00 2.22044605e-16]
