run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,rho_0_nash_conv,rho_0_heuristic_conv,rho_0_nash_conv_runtime,rho_0_heuristic_conv_runtime,rho_0_nash_conv_player_improvements,rho_0_heuristic_conv_player_improvements
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-105,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,105,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,81920.0,3657.460709810257,0.19478356866745372,"[8.900541403167827, 24.98276569483204]",0.005748658715753038,0.19478356866745372,0.005748658715753038,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.19478356866745372,0.007796717587106333,0.19478356866745372,0.007796717587106333,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],7.010299207640987,10.709464894531251,5.199918746948242,9.453585147857666,"[4.625, 2.385299207640987]","[10.530089894531251, 0.17937500000000028]"
feb4_4t_feb4_4t_1_base_dev1000_rho0_t4_tie_break-ppo_jun8_23ppo_76-109,feb4_4t/feb4_4t_1_base_dev1000_rho0_t4_tie_break.json,109,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,0.0,4,1000,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-101,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,101,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,88064.0,3634.207498073578,0.19478356866745372,"[8.900541403167827, 24.98276569483204]",0.005748658715753038,0.19478356866745372,0.005748658715753038,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.19478356866745372,0.007796717587106333,0.19478356866745372,0.007796717587106333,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],2.8531249999999986,19.103125,4.172866106033325,3.08266019821167,"[0.7662499999999994, 2.086874999999999]","[6.391249999999999, 12.711875]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-109,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,109,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,79872.0,3618.1746487617493,0.19478356866745372,"[8.900541403167827, 24.98276569483204]",0.005748658715753038,0.19478356866745372,0.005748658715753038,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.19478356866745372,0.007796717587106333,0.19478356866745372,0.007796717587106333,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],8.478124999999999,18.145218749999998,3.451780319213867,4.191153287887573,"[6.391249999999999, 2.086874999999999]","[9.324593749999996, 8.820625]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4_tie_break-ppo_jun8_23ppo_76-100,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4_tie_break.json,100,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,4,1000,True,73728.0,3662.8758697509766,0.0,"[8.900541403167827, 24.98276569483204]",0.0,0.0,0.0,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],2.064508438021928,"[7.566296631746016, 22.029071719950434]",0.06975782201756538,1.3632416552256874,0.04606266896311647,7.566296631746016,1.1840810468439926,0.15649413504037463,0.599905432226473,0.07928653361400628,22.029071719950434,0.8804273911779354,0.039966613317645346,0.7633362229992144,0.034651311353619395,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,7.566296631746016,20.54826289467337,0.0,0.0,1.0,0.0,0.0,22.029071719950434,24.101829908754947,0.0,0.0,1.0,0.1845107064238543,74.24546115512477,44.650092803428315,4.672603562137282,0.12307384430658395,0.12307384430658395,1.0410246147688644,0.0867520512307389,"[((1, 1), 7681), ((0, 3), 1446), ((0, 2), 867)]",[8.67520512e-02 4.44089210e-16],1.436690390624996,11.224734374999993,8.01787543296814,4.463550567626953,"[0.0, 1.436690390624996]","[4.364240624999997, 6.860493749999996]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-108,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,108,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,98304.0,3628.4580767154694,0.19478356866745372,"[8.900541403167827, 24.98276569483204]",0.005748658715753038,0.19478356866745372,0.005748658715753038,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.19478356866745372,0.007796717587106333,0.19478356866745372,0.007796717587106333,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],19.4645625,14.016124999999995,6.3441407680511475,4.630497455596924,"[11.01625, 8.4483125]","[4.625, 9.391124999999995]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-106,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,106,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,94208.0,3689.715360403061,0.5578822499791354,"[8.881383827801594, 23.76034016844084]",0.01709107797257756,0.5120207166517226,0.015686080695696835,8.881383827801594,0.03619427050624502,0.004075296283552714,0.0,0.0,23.76034016844084,0.5216879794728904,0.021956250448207437,0.5120207166517226,0.021549384942384075,0.0,0.0,1.0,0.0,0.0,8.881383827801594,21.31782551468381,0.0,0.0,1.0,0.0,0.0,23.76034016844084,22.54254580060537,0.0,0.0,1.0,0.0,76.50209531153162,43.86037131528917,3.6138683209925957,0.0,0.0,3.3306690738754696e-16,2.7755575615628914e-17,"[((1, 1), 7499), ((0, 3), 2495)]",[2.77555756e-17 0.00000000e+00],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],1.6821875000000013,24.0026515625,16.823307991027832,3.8864543437957764,"[1.2963125000000026, 0.38587499999999864]","[0.35875000000000057, 23.643901562499998]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-103,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,103,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,88064.0,3710.2076711654663,0.19478356866745372,"[8.900541403167827, 24.98276569483204]",0.005748658715753038,0.19478356866745372,0.005748658715753038,8.900541403167827,0.0,0.0,0.0,0.0,24.98276569483204,0.19478356866745372,0.007796717587106333,0.19478356866745372,0.007796717587106333,0.0,0.0,1.0,0.0,0.0,8.900541403167827,19.717499999999994,0.0,0.0,1.0,0.0,0.0,24.98276569483204,23.152500000000007,0.0,0.0,1.0,0.0,76.75330709799987,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((1, 1), 9992)]",[0. 0.],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],2.8531249999999986,4.5970207031250006,3.435116767883301,10.78765058517456,"[0.7662499999999994, 2.086874999999999]","[0.9585558593750001, 3.6384648437500005]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4_tie_break-ppo_jun8_23ppo_76-102,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4_tie_break.json,102,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.05,quasi_linear,tie_break,1.0,4,1000,True,96256.0,3634.02073597908,0.0,"[9.771228006626666, 21.056543703666886]",0.0,0.0,0.0,9.771228006626666,0.0,0.0,0.0,0.0,21.056543703666886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.771228006626666,23.152500000000007,0.0,0.0,1.0,0.0,0.0,21.056543703666886,19.717499999999994,0.0,0.0,1.0,0.0,73.69777171029354,42.870000000000005,3.0,0.0,0.0,0.0,0.0,"[((0, 3), 9992)]",[0. 0.],2.064508438021928,"[7.566296631746016, 22.029071719950434]",0.06975782201756538,1.3632416552256874,0.04606266896311647,7.566296631746016,1.1840810468439926,0.15649413504037463,0.599905432226473,0.07928653361400628,22.029071719950434,0.8804273911779354,0.039966613317645346,0.7633362229992144,0.034651311353619395,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,7.566296631746016,20.54826289467337,0.0,0.0,1.0,0.0,0.0,22.029071719950434,24.101829908754947,0.0,0.0,1.0,0.1845107064238543,74.24546115512477,44.650092803428315,4.672603562137282,0.12307384430658395,0.12307384430658395,1.0410246147688644,0.0867520512307389,"[((1, 1), 7681), ((0, 3), 1446), ((0, 2), 867)]",[8.67520512e-02 4.44089210e-16],2.393901562499998,0.9997262440751946,6.325007200241089,11.676809310913086,"[0.0, 2.393901562499998]","[0.0, 0.9997262440751946]"
feb4_4t_feb4_4t_1_base_dev1000_rho1_t4-ppo_jun8_23ppo_76-107,feb4_4t/feb4_4t_1_base_dev1000_rho1_t4.json,107,ppo_jun8_23ppo_76,PPO,feb4_4t_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.05,quasi_linear,base,1.0,4,1000,True,88064.0,3702.0107448101044,0.029294495313941127,"[9.039791014270214, 25.182130019811545]",0.0008560155137044064,0.029294495313941127,0.0008560155137044064,9.039791014270214,0.029294495313941127,0.003240616433244622,0.029294495313941127,0.003240616433244622,25.182130019811545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.039791014270214,20.135186649319454,0.0,0.0,1.0,0.0,0.0,25.182130019811545,22.73481335068055,0.0,0.0,1.0,0.0,77.09192103408176,42.870000000000005,3.0,0.2494995996797438,0.2494995996797438,1.6653345369377348e-16,1.3877787807814457e-17,"[((1, 1), 8777), ((0, 3), 1215)]",[1.38777878e-17 0.00000000e+00],0.9584078334149897,"[8.2205274202191, 22.97480090746294]",0.030722800008632062,0.2547478035500035,0.0081662164563258,8.2205274202191,0.8413166652362651,0.10234339261091374,0.2547478035500035,0.030989228613656734,22.97480090746294,0.11709116817872456,0.005096504150366311,0.0,0.0,0.0,0.0,1.0,-1.5934091647234998,0.1845107064238543,8.2205274202191,21.04832468174561,0.0,0.0,1.0,0.0,0.0,22.97480090746294,24.642792736451565,0.0,0.0,1.0,0.1845107064238543,76.88644574587923,45.69111741819718,4.672603562137282,0.12307384430658395,0.12307384430658395,3.1086244689504383e-15,4.440892098500626e-16,"[((1, 1), 8174), ((0, 3), 1820)]",[0.0000000e+00 4.4408921e-16],0.35875000000000057,22.250962410156255,14.40569019317627,10.199208974838257,"[0.35875000000000057, 0.0]","[0.18346875000000118, 22.067493660156252]"
