run_name,game_name,seed,config,alg,base_game_name,information_policy,activity_policy,undersell_policy,tiebreaking_policy,grace_rounds,clock_speed,value_structure,rule,rho,n_types,deviations,no_error,t,walltime,nash_conv,rewards,nash_conv_frac,heuristic_conv,heuristic_conv_frac,rewards_0,nc_player_improvements_0,nc_player_improvements_frac_0,hc_player_improvements_0,hc_player_improvements_frac_0,rewards_1,nc_player_improvements_1,nc_player_improvements_frac_1,hc_player_improvements_1,hc_player_improvements_frac_1,rewards_2,nc_player_improvements_2,nc_player_improvements_frac_2,hc_player_improvements_2,hc_player_improvements_frac_2,total_entropy,avg_entropy,avg_mode_probabilities,p0_expected_exposure,p0_exposure_frac,p0_utility,p0_payment,p0_total_entropies,p0_avg_entropies,p0_avg_mode_probabilities,p1_expected_exposure,p1_exposure_frac,p1_utility,p1_payment,p1_total_entropies,p1_avg_entropies,p1_avg_mode_probabilities,p2_expected_exposure,p2_exposure_frac,p2_utility,p2_payment,p2_total_entropies,p2_avg_entropies,p2_avg_mode_probabilities,exposure_frac,total_welfare,total_revenue,auction_lengths,num_lotteries,p_lottery,unsold_activity,unsold_licenses,common_allocations,unsold,straightforward_nash_conv,straightforward_rewards,straightforward_nash_conv_frac,straightforward_heuristic_conv,straightforward_heuristic_conv_frac,straightforward_rewards_0,straightforward_nc_player_improvements_0,straightforward_nc_player_improvements_frac_0,straightforward_hc_player_improvements_0,straightforward_hc_player_improvements_frac_0,straightforward_rewards_1,straightforward_nc_player_improvements_1,straightforward_nc_player_improvements_frac_1,straightforward_hc_player_improvements_1,straightforward_hc_player_improvements_frac_1,straightforward_rewards_2,straightforward_nc_player_improvements_2,straightforward_nc_player_improvements_frac_2,straightforward_hc_player_improvements_2,straightforward_hc_player_improvements_frac_2,straightforward_total_entropy,straightforward_avg_entropy,straightforward_avg_mode_probabilities,straightforward_p0_expected_exposure,straightforward_p0_exposure_frac,straightforward_p0_utility,straightforward_p0_payment,straightforward_p0_total_entropies,straightforward_p0_avg_entropies,straightforward_p0_avg_mode_probabilities,straightforward_p1_expected_exposure,straightforward_p1_exposure_frac,straightforward_p1_utility,straightforward_p1_payment,straightforward_p1_total_entropies,straightforward_p1_avg_entropies,straightforward_p1_avg_mode_probabilities,straightforward_p2_expected_exposure,straightforward_p2_exposure_frac,straightforward_p2_utility,straightforward_p2_payment,straightforward_p2_total_entropies,straightforward_p2_avg_entropies,straightforward_p2_avg_mode_probabilities,straightforward_exposure_frac,straightforward_total_welfare,straightforward_total_revenue,straightforward_auction_lengths,straightforward_num_lotteries,straightforward_p_lottery,straightforward_unsold_activity,straightforward_unsold_licenses,straightforward_common_allocations,straightforward_unsold,rho_0_nash_conv,rho_0_heuristic_conv,rho_0_nash_conv_runtime,rho_0_heuristic_conv_runtime,rho_0_nash_conv_player_improvements,rho_0_heuristic_conv_player_improvements
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-100,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break.json,100,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,0.0,3,1000,True,14600.0,10800.493423938751,,"[13.970321721472176, 9.345672278552142, 9.615177187459114]",,,,13.970321721472176,,,,,9.345672278552142,,,,,9.615177187459114,,,,,0.0,0.0,1.0,0.0,0.0,13.970321721472176,21.37399619885966,0.0,0.0,1.0,0.0,0.0,9.345672278552142,20.933031909572875,0.0,0.0,1.0,-0.9839153272070468,0.016604981494448334,9.615177187459114,20.73799739921977,0.0,0.0,1.0,0.016604981494448334,95.97619669513573,63.045025507652284,3.259377813344003,1.0233069920976292,1.0,3.774758283725532e-15,4.996003610813204e-16,"[((0, 2), 5488), ((1, 1), 3596), ((1, 0), 479), ((0, 3), 434)]",[5.55111512e-17 4.44089210e-16],,"[14.043530389579871, 9.611617439481638, 10.069822263529804]",,,,14.043530389579871,,,,,9.611617439481638,,,,,10.069822263529804,,,,,0.0,0.0,1.0,0.0,0.0,14.043530389579871,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.611617439481638,21.1548488546564,0.0,0.0,1.0,0.0,0.0,10.069822263529804,20.414572371711515,0.0,0.0,1.0,0.0,96.81031809699263,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0034656524658,300.0033543109894,,
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break-cfr_10external_plus_linear-101,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho1_t3_tie_break.json,101,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,1.0,3,1000,True,23455.0,10800.939163446426,,"[13.112447441600443, 8.946736852971524, 9.225538235587985]",,,,13.112447441600443,,,,,8.946736852971524,,,,,9.225538235587985,,,,,0.0,0.0,1.0,0.0,0.0,13.112447441600443,21.41429114557279,0.0,0.0,1.0,0.0,0.0,8.946736852971524,21.02246323161581,0.0,0.0,1.0,-1.4076101734330615,0.017008504252126064,9.225538235587985,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,94.39600617198087,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16],,"[13.848203805446254, 9.36732798759426, 9.734083509865636]",,,,13.848203805446254,,,,,9.36732798759426,,,,,9.734083509865636,,,,,0.0,0.0,1.0,0.0,0.0,13.848203805446254,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.36732798759426,21.1548488546564,0.0,0.0,1.0,0.0,0.0,9.734083509865636,20.414572371711515,0.0,0.0,1.0,0.0,96.03496330730746,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0005967617035,300.0008759498596,,
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-101,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break.json,101,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,0.0,3,1000,True,13403.0,10801.406206130981,,"[13.970321721472176, 9.345672278552142, 9.615177187459114]",,,,13.970321721472176,,,,,9.345672278552142,,,,,9.615177187459114,,,,,0.0,0.0,1.0,0.0,0.0,13.970321721472176,21.37399619885966,0.0,0.0,1.0,0.0,0.0,9.345672278552142,20.933031909572875,0.0,0.0,1.0,-0.9839153272070468,0.016604981494448334,9.615177187459114,20.73799739921977,0.0,0.0,1.0,0.016604981494448334,95.97619669513573,63.045025507652284,3.259377813344003,1.0233069920976292,1.0,3.774758283725532e-15,4.996003610813204e-16,"[((0, 2), 5488), ((1, 1), 3596), ((1, 0), 479), ((0, 3), 434)]",[5.55111512e-17 4.44089210e-16],,"[14.043530389579871, 9.611617439481638, 10.069822263529804]",,,,14.043530389579871,,,,,9.611617439481638,,,,,10.069822263529804,,,,,0.0,0.0,1.0,0.0,0.0,14.043530389579871,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.611617439481638,21.1548488546564,0.0,0.0,1.0,0.0,0.0,10.069822263529804,20.414572371711515,0.0,0.0,1.0,0.0,96.81031809699263,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0070264339447,300.0029184818268,,
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-102,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho0_t3.json,102,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,0.0,3,1000,True,19572.0,10800.13675570488,,"[10.061088920158776, 10.870929712638597, 12.593339513449896]",,,,10.061088920158776,,,,,10.870929712638597,,,,,12.593339513449896,,,,,0.0,0.0,1.0,0.0,0.0,10.061088920158776,20.575737442465478,0.0,0.0,1.0,0.0,0.0,10.870929712638597,20.638078847308385,0.0,0.0,1.0,0.0,0.0,12.593339513449896,22.863782269361618,0.0,0.0,1.0,0.0,97.60295670538277,64.07759855913547,3.6764058435061036,1.0,1.0,0.0,0.0,"[((0, 2), 7830), ((1, 1), 2164)]",[0. 0.],,"[9.263679550549245, 10.490566572402193, 10.942908232733352]",,,,9.263679550549245,,,,,10.490566572402193,,,,,10.942908232733352,,,,,0.0,0.0,1.0,0.0,0.0,9.263679550549245,21.306207724634785,0.0,0.0,1.0,0.0,0.0,10.490566572402193,20.659451671002603,0.0,0.0,1.0,0.0,0.0,10.942908232733352,24.10773824294577,0.0,0.0,1.0,0.0,96.77055199426795,66.07339763858313,4.402541524914949,1.1637982789673804,1.0,0.0,0.0,"[((0, 2), 8081), ((1, 1), 1359), ((0, 3), 554)]",[0. 0.],,,300.00224232673645,300.0030343532562,,
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-102,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break.json,102,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,0.0,3,1000,True,13701.0,10800.370091438293,,"[13.970321721472176, 9.345672278552142, 9.615177187459114]",,,,13.970321721472176,,,,,9.345672278552142,,,,,9.615177187459114,,,,,0.0,0.0,1.0,0.0,0.0,13.970321721472176,21.37399619885966,0.0,0.0,1.0,0.0,0.0,9.345672278552142,20.933031909572875,0.0,0.0,1.0,-0.9839153272070468,0.016604981494448334,9.615177187459114,20.73799739921977,0.0,0.0,1.0,0.016604981494448334,95.97619669513573,63.045025507652284,3.259377813344003,1.0233069920976292,1.0,3.774758283725532e-15,4.996003610813204e-16,"[((0, 2), 5488), ((1, 1), 3596), ((1, 0), 479), ((0, 3), 434)]",[5.55111512e-17 4.44089210e-16],,"[14.043530389579871, 9.611617439481638, 10.069822263529804]",,,,14.043530389579871,,,,,9.611617439481638,,,,,10.069822263529804,,,,,0.0,0.0,1.0,0.0,0.0,14.043530389579871,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.611617439481638,21.1548488546564,0.0,0.0,1.0,0.0,0.0,10.069822263529804,20.414572371711515,0.0,0.0,1.0,0.0,96.81031809699263,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0057363510132,300.0022382736206,,
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-101,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho0_t3.json,101,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,0.0,3,1000,True,17596.0,10800.04419016838,,"[10.061088920158776, 10.870929712638597, 12.593339513449896]",,,,10.061088920158776,,,,,10.870929712638597,,,,,12.593339513449896,,,,,0.0,0.0,1.0,0.0,0.0,10.061088920158776,20.575737442465478,0.0,0.0,1.0,0.0,0.0,10.870929712638597,20.638078847308385,0.0,0.0,1.0,0.0,0.0,12.593339513449896,22.863782269361618,0.0,0.0,1.0,0.0,97.60295670538277,64.07759855913547,3.6764058435061036,1.0,1.0,0.0,0.0,"[((0, 2), 7830), ((1, 1), 2164)]",[0. 0.],,"[9.263679550549245, 10.490566572402193, 10.942908232733352]",,,,9.263679550549245,,,,,10.490566572402193,,,,,10.942908232733352,,,,,0.0,0.0,1.0,0.0,0.0,9.263679550549245,21.306207724634785,0.0,0.0,1.0,0.0,0.0,10.490566572402193,20.659451671002603,0.0,0.0,1.0,0.0,0.0,10.942908232733352,24.10773824294577,0.0,0.0,1.0,0.0,96.77055199426795,66.07339763858313,4.402541524914949,1.1637982789673804,1.0,0.0,0.0,"[((0, 2), 8081), ((1, 1), 1359), ((0, 3), 554)]",[0. 0.],,,300.0015332698822,300.00158643722534,,
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-103,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break.json,103,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,0.0,3,1000,True,24001.0,10802.873478412628,,"[13.821873607094675, 9.38689297822806, 9.644248638412162]",,,,13.821873607094675,,,,,9.38689297822806,,,,,9.644248638412162,,,,,0.0,0.0,1.0,0.0,0.0,13.821873607094675,21.41429114557279,0.0,0.0,1.0,0.0,0.0,9.38689297822806,21.02246323161581,0.0,0.0,1.0,-0.9839153272070469,0.017008504252126064,9.644248638412162,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,95.9642988655558,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16],,"[14.043530389579871, 9.611617439481638, 10.069822263529804]",,,,14.043530389579871,,,,,9.611617439481638,,,,,10.069822263529804,,,,,0.0,0.0,1.0,0.0,0.0,14.043530389579871,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.611617439481638,21.1548488546564,0.0,0.0,1.0,0.0,0.0,10.069822263529804,20.414572371711515,0.0,0.0,1.0,0.0,96.81031809699263,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0030879974365,300.0042040348053,,
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-103,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho0_t3.json,103,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,0.0,3,1000,True,16319.0,10800.474645137787,,"[10.061088920158776, 10.870929712638597, 12.593339513449896]",,,,10.061088920158776,,,,,10.870929712638597,,,,,12.593339513449896,,,,,0.0,0.0,1.0,0.0,0.0,10.061088920158776,20.575737442465478,0.0,0.0,1.0,0.0,0.0,10.870929712638597,20.638078847308385,0.0,0.0,1.0,0.0,0.0,12.593339513449896,22.863782269361618,0.0,0.0,1.0,0.0,97.60295670538277,64.07759855913547,3.6764058435061036,1.0,1.0,0.0,0.0,"[((0, 2), 7830), ((1, 1), 2164)]",[0. 0.],,"[9.263679550549245, 10.490566572402193, 10.942908232733352]",,,,9.263679550549245,,,,,10.490566572402193,,,,,10.942908232733352,,,,,0.0,0.0,1.0,0.0,0.0,9.263679550549245,21.306207724634785,0.0,0.0,1.0,0.0,0.0,10.490566572402193,20.659451671002603,0.0,0.0,1.0,0.0,0.0,10.942908232733352,24.10773824294577,0.0,0.0,1.0,0.0,96.77055199426795,66.07339763858313,4.402541524914949,1.1637982789673804,1.0,0.0,0.0,"[((0, 2), 8081), ((1, 1), 1359), ((0, 3), 554)]",[0. 0.],,,300.0041561126709,300.0029089450836,,
feb8_3p_5supply_feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break-cfr_10external_plus_linear-104,feb8_3p_5supply/feb8_3p_5supply_0_base_dev1000_rho0_t3_tie_break.json,104,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_0,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_LICENSE,1,0.2,quasi_linear,tie_break,0.0,3,1000,True,23253.0,10800.131175756454,,"[13.821873607094675, 9.38689297822806, 9.644248638412162]",,,,13.821873607094675,,,,,9.38689297822806,,,,,9.644248638412162,,,,,0.0,0.0,1.0,0.0,0.0,13.821873607094675,21.41429114557279,0.0,0.0,1.0,0.0,0.0,9.38689297822806,21.02246323161581,0.0,0.0,1.0,-0.9839153272070469,0.017008504252126064,9.644248638412162,20.674529264632316,0.0,0.0,1.0,0.017008504252126064,95.9642988655558,63.11128364182089,3.2823411705852927,1.0,1.0,-2.4424906541753444e-15,-3.885780586188048e-16,"[((0, 2), 5543), ((1, 1), 3526), ((1, 0), 491), ((0, 3), 435)]",[ 5.55111512e-17 -4.44089210e-16],,"[14.043530389579871, 9.611617439481638, 10.069822263529804]",,,,14.043530389579871,,,,,9.611617439481638,,,,,10.069822263529804,,,,,0.0,0.0,1.0,0.0,0.0,14.043530389579871,21.515926778033414,0.0,0.0,1.0,0.0,0.0,9.611617439481638,21.1548488546564,0.0,0.0,1.0,0.0,0.0,10.069822263529804,20.414572371711515,0.0,0.0,1.0,0.0,96.81031809699263,63.085348004401304,3.2673802140642194,1.005701710513154,1.0,-2.220446049250313e-15,-2.7755575615628914e-16,"[((0, 2), 6257), ((1, 1), 3563), ((0, 3), 177)]",[-5.55111512e-17 -2.22044605e-16],,,300.0001904964447,300.0069799423218,,
feb8_3p_5supply_feb8_3p_5supply_1_base_dev1000_rho0_t3-cfr_10external_plus_linear-104,feb8_3p_5supply/feb8_3p_5supply_1_base_dev1000_rho0_t3.json,104,cfr_10external_plus_linear,cfr_external_linear,feb8_3p_5supply_1,SHOW_DEMAND,ON,UNDERSELL,DROP_BY_PLAYER,1,0.2,quasi_linear,base,0.0,3,1000,True,16744.0,10800.503113269806,,"[10.061088920158776, 10.870929712638597, 12.593339513449896]",,,,10.061088920158776,,,,,10.870929712638597,,,,,12.593339513449896,,,,,0.0,0.0,1.0,0.0,0.0,10.061088920158776,20.575737442465478,0.0,0.0,1.0,0.0,0.0,10.870929712638597,20.638078847308385,0.0,0.0,1.0,0.0,0.0,12.593339513449896,22.863782269361618,0.0,0.0,1.0,0.0,97.60295670538277,64.07759855913547,3.6764058435061036,1.0,1.0,0.0,0.0,"[((0, 2), 7830), ((1, 1), 2164)]",[0. 0.],,"[9.263679550549245, 10.490566572402193, 10.942908232733352]",,,,9.263679550549245,,,,,10.490566572402193,,,,,10.942908232733352,,,,,0.0,0.0,1.0,0.0,0.0,9.263679550549245,21.306207724634785,0.0,0.0,1.0,0.0,0.0,10.490566572402193,20.659451671002603,0.0,0.0,1.0,0.0,0.0,10.942908232733352,24.10773824294577,0.0,0.0,1.0,0.0,96.77055199426795,66.07339763858313,4.402541524914949,1.1637982789673804,1.0,0.0,0.0,"[((0, 2), 8081), ((1, 1), 1359), ((0, 3), 554)]",[0. 0.],,,300.00320959091187,300.0016553401947,,
