global_step,nash_conv,_runtime,base_game_name,rule,cfg,rho,seed
100,0.0,20.752359867095947,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
200,0.0,27.79435920715332,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
300,0.0,33.51208806037903,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
400,0.0,39.092883825302124,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
500,0.0,44.6447868347168,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
600,0.0,50.268503189086914,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
700,0.0,56.13472652435303,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
800,0.0,61.919575929641724,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
900,0.0,67.61603903770447,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1000,0.0,73.3081419467926,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1100,0.0,78.9648449420929,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1200,0.0,84.83869338035583,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1300,0.0,90.47711634635925,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1400,0.0,96.09716773033142,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1500,0.0,101.78693413734436,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1600,0.0,107.47747254371643,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1700,0.0,113.21329402923584,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1800,0.0,118.9152340888977,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
1900,0.0,124.6984703540802,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2000,0.0,130.61171555519104,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2100,0.0,136.42359828948975,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2200,0.0,142.32956337928772,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2300,0.0,148.3497760295868,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2400,0.0,154.2019064426422,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2500,0.0,160.18119478225708,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2600,0.0,166.17393684387207,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2700,0.0,172.28500938415527,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2800,0.0,178.3370246887207,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
2900,0.0,184.33403968811035,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3000,0.0,190.41092109680176,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3100,0.0,196.6068561077118,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3200,0.0,202.8179726600647,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3300,0.0,208.937025308609,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3400,0.0,215.1586799621582,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3500,0.0,221.53162240982056,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3600,0.0,227.9280812740326,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3700,0.0,234.36137652397156,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3800,0.0,240.74307417869568,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
3900,0.0,247.30567359924316,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4000,0.0,253.67979216575623,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4100,0.0,260.14951395988464,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4200,0.0,266.6826672554016,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4300,0.0,273.35674715042114,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4400,0.0,279.9548456668854,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4500,0.0,286.6021502017975,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4600,0.0,293.23346304893494,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4700,0.0,299.8535199165344,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4800,0.0,306.5281090736389,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
4900,0.0,313.2552843093872,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5000,0.0,320.003634929657,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5100,0.0,327.00035071372986,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5200,0.0,333.90937876701355,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5300,0.0,340.96469163894653,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5400,0.0,347.9127779006958,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5500,0.0,354.8162705898285,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5600,0.0,361.83541655540466,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5700,0.0,369.0315341949463,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
5800,0.0,376.1314151287079,feb10_2p_5type_4,tie_break,cfr_10_no_trem/external_plus_linear_no_trem,1,109
