global_step,nash_conv,_runtime,base_game_name,rule,cfg,rho,seed
100,0.0,23.431628704071045,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
200,0.0,31.404235363006592,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
300,0.0,38.45548439025879,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
400,0.0,45.088730335235596,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
500,0.0,51.176780462265015,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
600,0.0,57.26079511642456,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
700,0.0,63.3048894405365,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
800,0.0,69.40394973754883,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
900,0.0,75.56709003448486,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1000,0.0,81.57225918769836,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1100,0.0,87.70968770980835,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1200,0.0,93.80798721313477,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1300,0.0,99.91572403907776,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1400,0.0,105.9710624217987,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1500,0.0,111.91367149353027,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1600,0.0,117.82733583450317,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1700,0.0,123.95849990844727,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1800,0.0,129.91933226585388,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
1900,0.0,136.08109211921692,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2000,0.0,142.1505424976349,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2100,0.0,148.31131982803345,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2200,0.0,154.54193472862244,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2300,0.0,160.73447394371033,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2400,0.0,166.9294753074646,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2500,0.0,173.28447890281677,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2600,0.0,179.57318687438965,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2700,0.0,186.12173748016357,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2800,0.0,192.5106360912323,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
2900,0.0,198.9581482410431,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3000,0.0,205.62260603904724,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3100,0.0,212.1833188533783,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3200,0.0,218.7384536266327,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3300,0.0,225.46549534797668,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3400,0.0,232.07393670082092,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3500,0.0,238.84031701087952,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3600,0.0,245.72440695762634,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3700,0.0,252.59690308570862,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3800,0.0,259.5599102973938,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
3900,0.0,266.4321186542511,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4000,0.0,273.32022619247437,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4100,0.0,280.2438623905182,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4200,0.0,287.2334973812103,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4300,0.0,294.23274087905884,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4400,0.0,301.40821981430054,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4500,0.0,308.90885972976685,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4600,0.0,316.0480179786682,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4700,0.0,323.1692159175873,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4800,0.0,330.4324357509613,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
4900,0.0,337.70540595054626,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5000,0.0,345.0978841781616,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5100,0.0,352.44261860847473,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5200,0.0,359.8820524215698,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5300,0.0,367.3629903793335,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5400,0.0,374.89091205596924,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5500,0.0,382.42032623291016,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5600,0.0,389.94771790504456,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5700,0.0,397.33531880378723,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5800,0.0,404.9874801635742,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
5900,0.0,412.87781977653503,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6000,0.0,420.8129827976227,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6100,0.0,428.8077275753021,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6200,0.0,437.0301606655121,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6300,0.0,445.26872301101685,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6400,0.0,453.56704688072205,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6500,0.0,461.75024151802063,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6600,0.0,470.12128829956055,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6700,0.0,478.44440174102783,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6800,0.0,486.95176935195923,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
6900,0.0,495.47689390182495,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
7000,0.0,503.9794261455536,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
7100,0.0,512.5013706684113,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
7200,0.0,521.0538504123688,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
7300,0.0,529.612847328186,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
7400,0.0,538.3538861274719,feb10_2p_5type_4,tie_break,cfr_10/external_plus_linear,1,100
