info_state,player,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,prob,round,terminal,total_demand,value
"Player 0
MarginalValues:101, 51 Budget: 200
",0,,,0.0,1.0,0.0,10.0,,,,,1.0,1,False,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1
Processed:
1
Aggregates:
3
",0,,,0.0,1.0,0.0,11.0,,,,"MarginalValues:101, 51 Budget: 200",0.0004997500000000001,2,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 10
Round: 2",0,1.0,1.0,,,,10.0,81.75,14.25,,,0.99900025,2,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1
Processed:
1 | 1
Aggregates:
3 | 3
",0,,,0.0,1.0,0.0,12.1,,,,"MarginalValues:101, 51 Budget: 200",0.00024987500000000004,3,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1
Processed:
2 | 1
Aggregates:
4 | 3
",0,,,0.0,1.0,0.0,12.1,,,,"MarginalValues:101, 51 Budget: 200",6.25e-08,3,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 11
Round: 3",0,1.0,1.0,,,,11.0,81.0,13.5,,,0.0004998125,3,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1
Processed:
1 | 1 | 1
Aggregates:
3 | 3 | 3
",0,,,0.0,1.0,0.0,13.31,,,,"MarginalValues:101, 51 Budget: 200",0.00012493750000000002,4,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1 | 1
Processed:
2 | 1 | 1
Aggregates:
4 | 3 | 3
",0,,,0.0,1.0,0.0,13.31,,,,"MarginalValues:101, 51 Budget: 200",3.125e-08,4,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 1
Processed:
2 | 2 | 1
Aggregates:
4 | 4 | 3
",0,,,0.0,1.0,0.0,13.31,,,,"MarginalValues:101, 51 Budget: 200",1.5625e-08,4,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 12.1
Round: 4",0,1.0,1.0,,,,12.1,80.17500000000003,12.674999999999995,,,0.000249953125,4,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,14.640999999999998,,,,"MarginalValues:101, 51 Budget: 200",6.246875000000001e-05,5,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1 | 1 | 1
Processed:
2 | 1 | 1 | 1
Aggregates:
4 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,14.640999999999998,,,,"MarginalValues:101, 51 Budget: 200",1.5625e-08,5,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 1 | 1
Processed:
2 | 2 | 1 | 1
Aggregates:
4 | 4 | 3 | 3
",0,,,0.0,1.0,0.0,14.640999999999998,,,,"MarginalValues:101, 51 Budget: 200",7.8125e-09,5,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 1
Processed:
2 | 2 | 2 | 1
Aggregates:
4 | 4 | 4 | 3
",0,,,0.0,1.0,0.0,14.640999999999998,,,,"MarginalValues:101, 51 Budget: 200",3.90625e-09,5,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 13.31
Round: 5",0,1.0,1.0,,,,13.31,79.2675,11.767499999999998,,,0.00012498828125000002,5,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,16.1051,,,,"MarginalValues:101, 51 Budget: 200",3.1234375000000005e-05,6,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1 | 1 | 1 | 1
Processed:
2 | 1 | 1 | 1 | 1
Aggregates:
4 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,16.1051,,,,"MarginalValues:101, 51 Budget: 200",7.8125e-09,6,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 1 | 1 | 1
Processed:
2 | 2 | 1 | 1 | 1
Aggregates:
4 | 4 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,16.1051,,,,"MarginalValues:101, 51 Budget: 200",3.90625e-09,6,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 1 | 1
Processed:
2 | 2 | 2 | 1 | 1
Aggregates:
4 | 4 | 4 | 3 | 3
",0,,,0.0,1.0,0.0,16.1051,,,,"MarginalValues:101, 51 Budget: 200",1.953125e-09,6,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 1
Processed:
2 | 2 | 2 | 2 | 1
Aggregates:
4 | 4 | 4 | 4 | 3
",0,,,0.0,1.0,0.0,16.1051,,,,"MarginalValues:101, 51 Budget: 200",9.765625e-10,6,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 14.641
Round: 6",0,1.0,1.0,,,,14.640999999999998,78.26925,10.769249999999996,,,6.249707031250001e-05,6,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",1.5617187500000006e-05,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1 | 1 | 1 | 1 | 1
Processed:
2 | 1 | 1 | 1 | 1 | 1
Aggregates:
4 | 3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",3.90625e-09,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 1 | 1 | 1 | 1
Processed:
2 | 2 | 1 | 1 | 1 | 1
Aggregates:
4 | 4 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",1.953125e-09,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 1 | 1 | 1
Processed:
2 | 2 | 2 | 1 | 1 | 1
Aggregates:
4 | 4 | 4 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",9.765625e-10,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 1 | 1
Processed:
2 | 2 | 2 | 2 | 1 | 1
Aggregates:
4 | 4 | 4 | 4 | 3 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",4.8828125e-10,7,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 2 | 2 | 1
Processed:
2 | 2 | 2 | 2 | 2 | 1
Aggregates:
4 | 4 | 4 | 4 | 4 | 3
",0,,,0.0,1.0,0.0,17.7156,,,,"MarginalValues:101, 51 Budget: 200",2.44140625e-10,7,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 16.1051
Round: 7",0,1.0,1.0,,,,16.1051,77.17117499999998,9.671174999999998,,,3.1249267578125013e-05,7,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
1 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
3 | 3 | 3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,19.4872,,,,"MarginalValues:101, 51 Budget: 200",7.808593750000001e-06,8,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 1 | 1 | 1 | 1 | 1 | 1
Processed:
2 | 1 | 1 | 1 | 1 | 1 | 1
Aggregates:
4 | 3 | 3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,19.4872,,,,"MarginalValues:101, 51 Budget: 200",1.953125e-09,8,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 1 | 1 | 1 | 1 | 1
Processed:
2 | 2 | 1 | 1 | 1 | 1 | 1
Aggregates:
4 | 4 | 3 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,19.4872,,,,"MarginalValues:101, 51 Budget: 200",9.765625e-10,8,False,Submitted:,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
2 | 2 | 2 | 1 | 1 | 1 | 1
Processed:
2 | 2 | 2 | 1 | 1 | 1 | 1
Aggregates:
4 | 4 | 4 | 3 | 3 | 3 | 3
",0,,,0.0,1.0,0.0,19.4872,,,,"MarginalValues:101, 51 Budget: 200",4.8828125e-10,8,False,Submitted:,
