info_state,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,player,prob,round,terminal,total_demand,value
"Player 0
MarginalValues:101, 51 Budget: 200
",,,,0.9995,0.0005, 10,,,,,0,1.0,1,False,,
"Player 1
MarginalValues:47, 10.5 Budget: 200
",,,,0.9995,0.0005, 10,,,,,1,1.0,1,False,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 10
Round: 2",1 , 1,,,, 10,81.75,14.25,,,0,0.9990002500000001,2,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 10
Round: 2",1 , 1,,,, 10,81.75,14.25,,,1,0.9990002500000001,2,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1
Processed:
1
Aggregates:
3
",,,,1.0,, 11,,,,"MarginalValues:101, 51 Budget: 200",0,0.0004997500000000001,2,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2
Processed:
2
Aggregates:
3
",,,,0.5,0.5, 11,,,,"MarginalValues:47, 10.5 Budget: 200",1,0.0004997500000000001,2,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 11
Round: 3",1 , 1,,,, 11,81.0,13.5,,,0,0.0004998125,3,True,,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 11
Round: 3",1 , 1,,,, 11,81.0,13.5,,,1,0.0004998125,3,True,,
"Player 0
MarginalValues:101, 51 Budget: 200
Submitted:
1 | 1
Processed:
1 | 1
Aggregates:
3 | 3
",,,,1.0,, 12.1,,,,"MarginalValues:101, 51 Budget: 200",0,0.00024987500000000004,3,False,Submitted:,
"Player 1
MarginalValues:47, 10.5 Budget: 200
Submitted:
2 | 2
Processed:
2 | 2
Aggregates:
3 | 3
",,,,0.5,0.5, 12.1,,,,"MarginalValues:47, 10.5 Budget: 200",1,0.00024987500000000004,3,False,Submitted:,
"MarginalValues:101, 51 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 12.1
Round: 4",1 , 1,,,, 12.1,80.17500000000001,12.674999999999997,,,0,0.000249953125,4,True,,
