info_state,player,Allocation 0 A,Allocation 1 A,Bid (0 A),Bid (1 A),Bid (2 A),Price A,Utility 0,Utility 1,budget,my_bids,prob,round,terminal,total_demand,value
"Player 0
MarginalValues:101, 99 Budget: 200",0,,,0.0,0.0,1.0,10.0,,,,,1.0,1,False,,
"Player 0
MarginalValues:101, 99 Budget: 2001
1
3",0,,,0.3646265339500867,0.6353734660499133,0.0,11.0,,,,"MarginalValues:101, 99 Budget: 2001",0.0003841989129192,2,False,1,
"Player 0
MarginalValues:101, 99 Budget: 2002
2
3",0,,,0.0,0.0,1.0,11.0,,,,"MarginalValues:101, 99 Budget: 2002",0.1590061774701756,2,False,2,
"Player 0
MarginalValues:101, 99 Budget: 2002
2
4",0,,,0.0,0.0,1.0,11.0,,,,"MarginalValues:101, 99 Budget: 2002",0.8398703306418901,2,False,2,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 0
Price: 10
Round: 2",0,0.0,0.0,,,,10.0,0.0,0.0,,,1.1111111111111749e-07,2,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 1
Price: 10
Round: 2",0,0.0,1.0,,,,10.0,0.0,37.0,,,5.3043986291975697e-05,2,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 0 | 2
Price: 10
Round: 2",0,0.0,2.0,,,,10.0,0.0,37.5,,,0.0002801782359302,2,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 0
Price: 10
Round: 2",0,1.0,0.0,,,,10.0,91.0,0.0,,,1.523628984257182e-07,2,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 1 | 1
Price: 10
Round: 2",0,1.0,1.0,,,,10.0,91.0,37.0,,,7.273741945949115e-05,2,True,,
"MarginalValues:101, 99 Budget: 200
MarginalValues:47, 10.5 Budget: 200
Final bids: 2 | 0
Price: 10
Round: 2",0,2.0,0.0,,,,10.0,180.0,0.0,,,0.0003330698593238,2,True,,
"Player 0
MarginalValues:101, 99 Budget: 2001 | 1
1 | 1
3 | 3",0,,,0.2869387481798324,0.7130612518201677,0.0,12.1,,,,"MarginalValues:101, 99 Budget: 2001 | 1",3.2269114290052304e-08,3,False,1 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 1
2 | 1
4 | 3",0,,,0.3086958949472367,0.6913041050527633,0.0,12.1,,,,"MarginalValues:101, 99 Budget: 2002 | 1",0.0001512298276075,3,False,2 | 1,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2
2 | 2
3 | 3",0,,,0.0,0.0,1.0,12.1,,,,"MarginalValues:101, 99 Budget: 2002 | 2",0.0794854074063238,3,False,2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2
2 | 2
4 | 3",0,,,0.0,0.0,1.0,12.1,,,,"MarginalValues:101, 99 Budget: 2002 | 2",0.0001109909442556,3,False,2 | 2,
"Player 0
MarginalValues:101, 99 Budget: 2002 | 2
2 | 2
4 | 4",0,,,0.0,0.0,1.0,12.1,,,,"MarginalValues:101, 99 Budget: 2002 | 2",0.839403686187448,3,False,2 | 2,
